Model,Accuracy,Precision,Recall,F1-score,IoU
SVM,0.7114285714285714,0.6617147109967216,0.7059369908369179,0.6760254313091042,0.5248502071212907
KNN,0.74,0.7190977624772824,0.6331756585137378,0.6546460554237701,0.5178532628184378
RandomForest,0.7271428571428571,0.7311138702056359,0.6062405083628104,0.6160944827728797,0.4824246646374313
LogisticRegression,0.6442857142857144,0.589384215453458,0.5910699762677167,0.5893676056546837,0.4369715249127871
