Model,Accuracy,Precision,Recall,F1-score,IoU
SVM,0.8099999999999999,0.8117805630513841,0.8099999999999999,0.8035400532638199,0.691069799765452
KNN,0.7157142857142857,0.7685939606620557,0.7157142857142856,0.710040081769789,0.5718173539049352
RandomForest,0.89,0.8994204064678364,0.89,0.8893197998999322,0.8115182204498975
LogisticRegression,0.7642857142857142,0.7593085555500894,0.7642857142857143,0.7567531576969422,0.6387671832556314
